var0|var1|var2|var3|var4|var5|var6|var7|var8|var9|var10|var11|var12|var13|var14|var15|var16|var17|var18|var19|var20|var21|var22|var23|var24|var25|var26|var27|var28|var29|var30|var31|var32|var33|var34|var35|var36|var37|var38|var39|var40|var41|var42|var43|var44|var45|var46|var47|var48|var49|var50|var51|var52|var53|var54|var55|var56|var57|var58|var59|var60|var61|var62|var63|var64|var65|var66|var67|var68
4246583|78428451|Y|2006-12-19|243.0|37738.9343879|3100.0|3019.41588418|Y|1989-03-01|024|B|X|5X|18|2|*2|D|31.05|8|P|2|B|16126.9615712|47.0|5100|2013-01-12|00:00:00.108872|50|8|50|M|65789|S|9|N|M|1|98198|*2|734|22|739|C|5932|484|301|5|*2|N|2008-07-19|N|2003-12-29 00:00:01|972|C|2006-07-19 00:00:00|06|00|N|Y|*2|156|0|0|4|7|34195193.3193|2|84.40805
8855852|29057098|N|2008-12-03|148.0|4065.31422993|3200.0|15584.3522186|Y|1987-06-27|019|B|X|5N|32|0|*2|A|76.1|6|N|2|B|9752.5119847|126.5|1000|2013-07-16|00:00:00.108872|11|8|387|M|51585|F|2|N|N|2|1545699|7|209|16|191|O|5996|156|371|5|*2|Y|null|Y|2008-11-15 00:00:01|818|C|2003-09-28 00:00:00|52|01|N|Y|*2|348|0|2|6|1|20111526.383|1|6.214978
8879217|54495340|N|2006-03-29|3419.46|16217.4159218|2800.0|13275.1396579|Y|2011-10-14|254|B|4|5W|25|2|*2|D|9.91|0|K|2|I|982.699313605|470.0|5100|2013-03-31|00:00:00.108872|50|8|33|N|47446|A|2|N|S|1|0|2|793|4|625|N|4900|484|508|5|*2|N|2009-03-10|N|2013-02-16 00:00:01|504|M|2008-06-28 00:00:00|08|81|Y|Y|*2|986|0|2|2|5|11048566.0491|2|5.060815
9079731|10503121|N|2004-07-17|370.7|37582.9167175|3600.0|-7.04899265011|Y|2007-05-09|024|B|4|5Y|2|4|*2|D|15.27|7|N|1|I|12049.0367812|33.0|5100|2013-02-16|00:00:00.108872|11|2|688|N|79048|A|1|M|P|5|169233|7|654|5|147|C|3007|826|592|5|*2|Y|2010-10-11|Y|2003-08-04 00:00:01|472|C|2005-04-01 00:00:00|52|01|Y|Y|*2|840|0|1|4|3|84964762.2117|2|517.93195
7607262|2680246|N|2005-03-26|3552.96|16596.0267825|4200.0|10459.3772286|Y|2004-03-14|258|B|X|5X|26|1|*2|D|25.94|4|P|2|B|7220.32871174|148.0|1000|2013-03-10|00:00:00.108872|00|1|465|M|19898|S|1|N|S|4|1000000|*2|80|7|752|S|3144|076|323|5|*2|Y|2008-10-02|Y|2011-06-06 00:00:01|3|C|2005-07-06 00:00:00|52|02|N|Y|*2|986|0|1|0|7|78522208.943|8|17.144327
3025964|10203990|Y|null|457.75|413.775016465|3575.0|17177.1501977|Y|1993-06-19|029|B|X|5A|32|2|*2|A|94.5|8|T|2|B|14511.1754271|403.0|1000|2013-06-08|00:00:00.108872|00|8|114|M|49973|A|null|M|P|5|1310550|1|686|1|765|A|5169|076|760|8|*2|N|2010-11-28|N|2003-07-11 00:00:01|637|C|2008-03-23 00:00:00|02|01|N|Y|*2|348|0|2|1|2|46380934.3446|2|639.38464
8732882|25266962|N|2005-07-08|1071.66|34210.5315987|3200.0|10215.8928799|Y|1997-05-18|026|B|X|5Z|35|0|*2|R|233.96|1|P|2|B|12387.0513891|900.0|1000|2013-02-18|00:00:00.108872|17|2|387|N|33519|N|0|M|S|2|102658|7|338|0|310|S|9402|752|421|5|*2|N|null|Y|null|646|C|2009-06-19 00:00:00|52|90|N|Y|*2|376|0|1|2|5|47183797.6181|2|2.6216006
2352917|88237701|Y|null|1550.0|37859.9384962|1200.0|16829.6704147|Y|1984-10-11|056|null|4|5A|15|3|*2|A|269.0|6|K|2|I|11000.991481|366.0|5100|2013-01-21|00:00:00.108872|00|8|48|M|73766|S|9|M|P|0|1524051|1|618|28|257|R|3063|076|449|8|*2|Y|2005-07-14|N|2004-10-07 00:00:01|124|C|2004-08-18 00:00:00|00|90|N|Y|*2|946|0|2|1|7|63696076.3066|0|529.1398
4459064|56021079|Y|2004-07-31|3391.74|13442.1752284|6000.0|13583.4848701|Y|1997-10-22|023|B|4|5Y|18|0|*2|A|218.0|6|N|2|I|10328.9785126|309.45|1000|2013-02-11|00:00:00.108872|17|2|210|M|58578|F|0|X|N|0|2957136|*2|889|28|295|A|7379|410|961|8|*2|Y|2012-09-30|N|2006-11-08 00:00:01|356|C|2004-07-12 00:00:00|05|90|Y|Y|*2|188|0|0|7|0|55669458.1909|1|2365.5037
5538134|58397962|Y|2008-07-31|2499.09|25678.8685172|2350.0|16162.6264897|Y|1990-01-22|014|B|4|5X|16|2|*2|D|166.01|0|E|2|B|1486.58286992|22.5|1000|2013-01-08|00:00:00.108872|17|2|406|N|33996|S|2|M|P|4|1308150|1|333|16|405|D|2741|156|327|5|*2|N|2011-10-05|Y|2005-04-22 00:00:01|662|M|null|51|01|N|Y|*2|978|0|1|0|5|66087762.7846|8|78.47237
4359268|77547084|N|2005-01-10|1232.68|34637.2830807|1500.0|6280.44447394|Y|2003-08-16|057|B|4|5Y|1|2|*2|F|6.58|1|E|2|B|6333.48964211|102.5|5100|2013-07-10|00:00:00.108872|17|8|179|M|66982|A|2|M|M|1|3152585|0|271|16|313|O|9211|076|673|8|*2|Y|2009-11-25|Y|2003-03-28 00:00:01|104|P|2011-01-15 00:00:00|05|01|N|Y|*2|188|0|0|9|1|4207628.73701|8|1519.3944
3139788|90534585|Y|2007-11-29|4250.0|15633.9330009|250.0|8577.8739929|Y|1994-11-17|025|B|X|5X|36|4|*2|D|101.31|4|U|1|B|14678.4621443|183.0|1000|2013-02-15|00:00:00.108872|11|8|244|N|75353|N|2|M|S|1|1310550|3|665|16|166|R|3502|250|953|8|*2|Y|2012-05-21|N|2002-11-01 00:00:01|613|M|2008-11-23 00:00:00|06|90|N|Y|*2|752|0|2|8|2|44847526.9434|8|2444.7537
